resolution,summary
"resolution of the miami city commission appointing certain individuals as members of the finance committee for terms as designated herein. appointees: nominated by: mayor fra ncis suarez commissioner alex diaz de la portilla commissioner ken russell commissioner joe carollo commissioner christine king history: 01 13 22 city commission no action taken next: 02 10 22 result: no action taken next: 10 2022 9:00 am 02 10 22 city commission no action taken next: 03 10 22 result: no action taken next: 10 2022 9:00 am city commission meeting agenda march 10, 2022 city of miami page 45 printed on 2022 bc.13 7963 office of the city clerk resolution",Miami city commission appointed certain individuals as members of the finance committee for terms as designated in the resolution of the city commission.
"resolution of the miami city commission appointing certain individuals as mem bers of he health facilities authority board for terms as designated herein. appointees: nominated by: commissioner alex diaz de la portilla commissioner joe carollo commissioner manolo reyes commissioner christine king history: 10 08 20 city commission no action taken next: 11 19 20 result: no action taken next: 11 19 2020 9:00 am 11 19 20 city commission no action taken next: 12 10 20 result: no action taken next: 12 10 2020 9:00 am 12 10 20 city commission no action take next: 01 14 21 result: no action taken next: 14 2021 9:00 am 01 14 21 city commission no action taken next: 02 11 21 result: no action taken next: 11 2021 9:00 am 02 11 21 city commission no action taken next: 03 11 21 result: no action taken next 11 20 21 9:00 am 03 11 21 city commission no action taken next: 04 08 21 result: no action taken next: 2021 9:00 am 04 08 21 city commission no action taken next: 05 13 21 result: no action taken next: 13 2021 9:00 am city commission meeting agenda march 10, 2022 city of miami page 46 printed on 2022 05 13 21 city commission no action aken next: 06 10 21 result: no action taken next: 10 2021 9:00 am 06 10 21 city commission no action taken next: 07 08 21 result: no action taken next: 2021 9:00 am 07 08 21 city commission no action taken next: 09 13 21 result: no acti on taken next: 13 2021 9:00 am 09 13 21 city commission no action taken next: 10 14 21 result: no action taken next: 10 14 2021 9:00 am 10 14 21 city commission no action taken next: 11 18 21 result: no action taken next: 11 18 2021 9:00 am 11 18 21 city commissi on no action taken next: 12 09 21 result: no action taken next: 12 2021 9:00 am 12 09 21 city commission no action taken next: 01 13 22 result: no action taken next: 13 2022 9:00 am 01 13 22 city commission no action taken next: 02 10 22 result: no action taken next: 10 2022 9:00 am 02 10 22 city commission no action taken next: 03 10 22 result: no action taken next: 10 2022 9:00 am city commission meeting agenda march 10, 2022 city of miami page 47 printed on 2022 bc.14 8267 office of the city clerk resolution",Miami city commission appointed certain individuals as mem bers of the health facilities authority board for terms as designated in the resolution of the city commission.
"resolution of the miami city commission appointing ertain individual as member of the lesbian, gay, bisexual, transgender, queer (lgbtq) advisory board for term as designated herein. appointee s: nominated by: mayor francis suarez commissioner alex diaz de la portilla commissioner ken russell commissioner joe carollo commissioner manolo reyes commissioner christine king commission atlarge history: 12 10 20 city commission no action taken next: 01 14 21 result: no action taken next: 14 2021 9:00 am 01 14 21 city com mission no action taken next: 02 11 21 result: no action taken next: 11 2021 9:00 am 02 11 21 city commission no action taken next: 03 11 21 result: no action taken next: 11 2021 9:00 am 03 11 21 city commission no action taken next: 04 21 result no action taken next: 2021 9:00 am 04 08 21 city commission no action taken next: 05 13 21 result: no action taken next: 13 2021 9:00 am 05 13 21 city commission no action taken next: 06 10 21 result: no action taken next: 10 2021 9: 00 am city commission meeting agenda march 10, 2022 city of miami page 48 printed on 2022 06 10 21 city commission no action taken next: 07 08 21 result: no action taken next: 2021 9:00 am 07 08 21 city commission no action taken next: 09 13 21 result: no action taken next: 13 2021 9:00 am 09 13 21 city commission no action taken next: 10 21 result: no action taken next: 10 14 2021 9:00 am 10 14 21 city commission no action taken next: 11 18 21 result: no action taken next: 11 18 2021 9:00 am 11 18 21 city commission no action taken next: 12 09 21 result: no action taken next 12 2021 9:00 am 12 09 21 city commission no action taken next: 01 13 22 result: no action taken next: 13 2022 9:00 am 01 13 22 city commission no action taken next: 02 10 22 result: no action taken next: 10 2022 9:00 am 02 10 22 city commission no action ta ken next: 03 10 22 result: no action taken next: 10 2022 9:00 am city commission meeting agenda march 10, 2022 city of miami page 49 printed on 2022 bc.15 11556 office of the city clerk resolution","Miami city commission appoints an individual as a member of the lesbian, gay, bisexual, transgender, queer (lgbtq) advisory board."
"resolution of the miami city commission confirming certain individuals as members of the little haiti revitalization trust fo terms as designated herein. appointees: nominated by: commissioner christine king commissioner christine king commissioner christine king commissioner christine king commissioner christine king youth member city commission meeting agenda march 10, 2022 city of miami page 50 printed on 2022 bc.16 8269 office of the city clerk resolution",Miami city commission confirms certain individuals as members of the little haiti revitalization trust.
"resolution of the miami city commission appointing certain individuals as members of the mayor council on global competitiveness for terms as designated herein. appointees: nominated by: mayor francis suarez mayor francis suarez mayor francis suarez mayor francis suarez mayor francis suarez mayor francis suarez mayor francis suarez commissioner alex diaz de la portilla commissioner ken russell commissioner manolo eyes commissioner christine king commission atlarge commission atlarge history: 12 10 20 city commission no action taken next: 01 14 21 result: no action taken next: 14 2021 9:00 am 01 14 21 city commission no action taken next: 02 11 21 result: no action taken next: 11 2021 9:00 am 02 11 21 city commission no action taken next: 03 11 21 result: no action taken next: 11 2021 9:00 am city commission meeting agenda march 10, 2022 city of miami page 51 printed on 2022 03 11 21 city commission no action taken next: 04 08 21 result: no action taken next: 2021 9:00 am 04 08 21 city commission no action taken next: 05 13 21 result: no action taken next: 13 2021 9:00 am 05 13 21 city commission no action taken next: 06 10 21 result: no action taken next: 10 2021 9:00 am 06 10 21 city commission no actio taken next: 07 08 21 result: no action taken next: 2021 9:00 am 07 08 21 city commission no action taken next: 09 13 21 result: no action taken next: 13 2021 9:00 am 09 13 21 city commission no action taken next: 10 14 21 result: no action taken next: 10 14 2021 9:00 am 10 14 21 city commission no action taken next: 11 18 21 result: no action taken next: 11 18 2021 9:00 am 11 18 21 city commission no action taken next: 12 09 21 result: no action taken next: 12 2021 9:00 am 12 09 21 city commi ssion no act ion taken next: 01 13 22 result: no action taken next: 13 2022 9:00 am 01 13 22 city commission no action taken next: 02 10 22 result: no action taken next: 10 2022 9:00 am 02 10 22 city commission no action taken next: 03 10 22 result: no action ta ken next: 10 2022 9:00 am city commission meeting agenda march 10, 2022 city of miami page 52 printed on 2022 bc.17 8805 office of the city clerk resolution",Miami city commission appoints certain individuals as members of the mayor council on global competitiveness for terms as designated in the resolution of the city commission.
"resolution of the miami city commission appointing certain individuals as members of the miami forever bond program citizens oversight board for terms as designated herein. appointees: nominated by: mayor francis suarez commissioner alex diaz de la portilla commissioner ken russell commissioner ken russell commissioner joe carollo commissioner christine king history: 04 08 21 city commiss ion no action taken next: 05 13 21 result: no action taken next: 13 2021 9:00 am 05 13 21 city commission no action taken next: 06 10 21 result: no action taken next: 10 2021 9:00 am 06 10 21 city commission no action taken next: 07 08 result: no action taken next: 2021 9:00 am 07 08 21 city commission no action taken next: 09 13 21 result: no action taken next: 13 2021 9:00 am 09 13 21 city commission no action taken next: 10 14 21 result: no action taken next: 10 14 2021 9:00 am 10 14 21 city commission no action taken next: 11 18 21 result: no action taken next: 11 18 2021 9:00 am city commission meeting agenda march 10, 2022 city of miami page 53 printed on 2022 11 18 21 city commission no action taken next: 12 09 21 result: no action taken next: 12 2021 9:00 am 12 09 21 city commission no action take next: 01 13 22 result: no action taken next: 13 2022 9:00 am 01 13 22 city commission no action taken next: 02 10 22 result: no action taken next: 10 2022 9:00 am 02 10 22 city commission no action taken next: 03 10 22 result: no action taken next 10 2022 9: 00 am city commission meeting agenda march 10, 2022 city of miami page 54 printed on 2022 bc.18 7261 office of the city clerk resolution",Miami city commission appointed certain individuals as members of the miami forever bond program citizens oversight board.
"resolution of the miami city commission appointing certain individual as member of the miami river commission for term as designated herein. appointee: nominated by: commi ssionatlarge history: 03 12 20 city commission no action taken next: 05 14 20 result: no action taken next: 14 2020 9:00 am 05 14 20 city commission no action taken next: 06 11 20 result: no action taken next: 11 2020 9:00 am 06 11 20 city commission no action taken next: 07 09 20 result: no action taken next: 2020 9:00 am 07 09 20 city commission no action taken next: 09 10 20 result: no action taken next: 10 2020 9:00 am 09 10 20 city commission no action taken next: 10 08 20 resu lt: no action taken next: 10 2020 9:00 am 10 08 20 city commission no action taken next: 11 19 20 result: no action taken next: 11 19 2020 9:00 am 11 19 20 city commission no action taken next: 12 10 20 result: no action taken next: 12 10 2020 9:00 am 12 10 20 city commission no action taken next: 01 14 21 result: no action taken next: 14 2021 9:00 am 01 14 21 city commission no action taken next: 02 11 21 result: no action taken next: 11 2021 9:00 am city commission meeting agenda march 10, 2022 city of miami page 55 printed on 2022 02 11 21 city commission no action taken next: 03 11 21 result: no action taken next: 11 2021 9:00 am 03 11 21 city commission no action taken next: 04 08 21 result: no action taken next: 2021 9:00 am 04 08 21 city commission no action taken next: 05 13 21 result: no action taken next: 13 2021 9:00 am 05 13 21 city commission no action taken next: 06 10 21 result: no action taken next: 10 2021 9:00 am 06 10 21 city commission no action taken next: 06 24 21 result: no action taken next: 24 2021 9:00 am 06 24 21 city commission deferred next: 07 08 result: deferred [unanimous] next: 2021 9:00 am mover: manolo reyes, commissioner, district four seconder: ken russell, commissioner, district two ayes: ken russell, alex diaz de la portilla, joe carollo, manolo reyes absent: jeffrey atson 07 08 21 city commission no action taken next: 09 13 21 result: no action taken next: 13 2021 9:00 am 09 13 21 city commission no action taken next: 10 14 21 result: no action taken next: 10 14 2021 9:00 am 10 14 21 city commission no action take next: 11 18 21 result: no action taken next: 11 18 2021 9:00 am 11 18 21 city commission no action taken next: 12 09 21 result: no action taken next: 12 2021 9:00 am city commission meeting agenda march 10, 2022 city of miami page 56 printed on 2022 12 09 21 city commission no action taken next: 01 13 22 result: no action aken next: 13 2022 9: 00 am 01 13 22 city commission no action taken next: 02 10 22 result: no action taken next: 10 2022 9:00 am 02 10 22 city commission no action taken next: 03 10 22 result: no action taken next: 10 2022 9:00 am city commission meeting agenda march 10, 2022 city of miami page 57 printed on 2022 bc.19 9270 office of the city clerk resolution",Manolo Reyes is appointed as a member of the miami river commission for term as designated by the city commission.
"resolution of the miami city commission appointing certain individuals as members of the miami technology council for terms as designated herein. appointees: nominated by: commissioner alex diaz de la portilla commissioner ken russe ll commissioner joe carollo commissioner manolo reyes commissioner christine king commission atlarge history: 07 08 21 city commission no action taken next: 09 13 21 result: no action taken next: 13 20 21 9:00 am 09 13 21 city commission no action taken next: 10 14 21 result: no action taken next: 10 14 2021 9:00 am 10 14 21 city commission no action taken next: 11 18 21 result: no action taken next: 11 18 2021 9:00 am city commission meeting agenda march 10, 2022 city of miami page 58 printed on 2022 11 18 21 city commissio no action taken next: 12 09 21 result: no action taken next: 12 2021 9:00 am 12 09 21 city commission no action taken next: 01 13 22 result: no action taken next: 13 2022 9:00 am 01 13 22 city commission no action taken next: 02 10 22 result: no ction taken next: 10 2022 9:00 am 02 10 22 city commission no action taken next: 03 10 22 result: no action taken next: 10 2022 9:00 am city commission meeting agenda march 10, 2022 city of miami page 59 printed on 2022 bc.20 3693 office of the city clerk resolution",Miami city commission appoints certain individuals as members of the miami technology council for terms as designated in the resolution of the city commission.
"resolution of the miami city commission appointing certain indiv iduals as members of the stars of calle ocho walk of fame committee for terms as designated herein. appointees: nominated by: mayor francis suarez commissioner joe carollo commissioner joe carollo commissioner joe carollo commiss ionatlarge commission atlarge commission atlarge history: 03 08 18 city commission no action taken next: 04 12 18 result: no action taken next: 12 2018 9:00 am 04 12 18 city commission no action taken next: 05 10 18 result: no act ion taken next: 10 2018 9:00 am 05 10 18 city commission no action taken next: 06 14 18 result: no action taken next: 14 2018 9:00 am 06 14 18 city commission no action taken next: 07 12 18 result: no action taken next: 12 2018 9:00 am 07 12 18 city commission no action taken next: 09 13 18 result: no action taken next: 13 2018 9:00 am 09 13 18 city commission no action taken next: 10 11 18 result: no action taken next: 10 11 2018 9:00 am city commission meeting agenda march 10, 2022 city of miami page 60 printed on 2022 10 11 18 city commission no action taken next: 11 15 result: no action taken next: 11 15 2018 9:00 am 11 15 18 city commission no action taken next: 12 13 18 result: no action taken next: 12 13 2018 9:00 am 12 13 18 city commission no action taken next: 01 10 19 result: no action taken next: 10 2019 9: 00 am 01 10 19 city commission no ction taken next: 02 14 19 result: no action taken next: 14 2019 9:00 am 02 14 19 city commission no action taken next: 03 14 19 result: no action taken next: 14 2019 9:00 am 03 14 19 city commission no action taken next: 04 11 19 result: no action taken next: 11 2019 9:00 am 04 11 19 city commission no action taken next: 05 09 19 result: no action taken next: 2019 9:00 am 05 09 19 city commission no action taken next: 06 13 19 result: no action taken next: 13 2019 9:00 am 06 13 19 city com mission no action taken next: 07 11 19 result: no action taken next: 11 2019 9:00 am 07 11 19 city commission no action taken next: 09 12 19 result: no action taken next: 12 2019 9:00 am 09 12 19 city commission no action taken next: 10 10 19 result no action taken next: 10 10 2019 9:00 am 10 10 19 city commission no action taken next: 11 21 19 result: no action taken next: 11 21 2019 9:00 am 11 21 19 city commission no action taken next: 01 09 20 result: no acti on taken next: 2020 9:00 am city commission meeting agenda march 10, 2022 city of miami page 61 printed on 2022 01 09 20 city commission rolled over to the next like meeting next: 02 13 20 result: rolled over to the next like meeting [3 to 2] next: 13 2020 9:00 am mover: alex diaz de la portilla, commissioner, district one second er: joe carollo, vice chair, district three ayes: alex diaz de la portilla, joe carollo, manolo reyes nays: keon hardemon, ken russell 02 13 20 city commission no action taken next: 03 12 20 result: no action taken next: 12 2020 9:00 am 03 12 20 city co mmission no action taken next: 05 14 20 result: no action taken next: 14 2020 9:00 am 05 14 20 city commission no action taken next: 06 11 20 result: no action taken next: 11 2020 9:00 am 06 11 20 city commission no action taken next: 07 09 20 resul t: no action taken next: 2020 9:0 am 07 09 20 city commission no action taken next: 09 10 20 result: no action taken next: 10 2020 9:00 am 09 10 20 city commission no action taken next: 10 08 20 result: no action taken next: 10 2020 9:00 am 10 08 20 city commission no action taken next: 11 19 20 result: no action taken next: 11 19 2020 9:00 am 11 19 20 city commission no action taken next: 12 10 20 result: no action taken next: 12 10 2020 9:00 am 12 10 20 city commission no action taken next: 01 14 21 result: no action taken next 14 2021 9:00 am 01 14 21 city commission no action taken next: 02 11 21 result: no action taken next: 11 2021 9:00 am 02 11 21 city commission no action taken next: 03 11 21 result: no action taken next: 11 20 21 9:00 am city commission meeting agenda march 10, 2022 city of miami page 62 printed on 2022 03 11 21 city commission no action taken next: 04 08 21 result: no action taken next: 2021 9:00 am 04 08 21 city commission no action taken next: 05 13 21 result: no action taken next: 13 2021 9:00 am 05 13 21 city commission no action taken next: 06 10 21 result: no actio taken next: 10 2021 9:00 am 06 10 21 city commission no action taken next: 07 08 21 result: no action taken next: 2021 9:00 am 07 08 21 city commission no action taken next: 09 13 21 result: no action taken next: 13 2021 9:00 am 09 13 21 city ommission no action taken next: 10 14 21 result: no action taken next: 10 14 2021 9:00 am 10 14 21 city commission no action taken next: 11 18 21 result: no action taken next: 11 18 2021 9:00 am 11 18 21 city commiss ion no action taken next: 12 09 21 result: no action taken next: 12 2021 9:00 am 12 09 21 city commission no action taken next: 01 13 22 result: no action taken next: 13 2022 9:00 am 01 13 22 city commission no action taken next: 02 10 22 result: no action taken next: 10 2022 9:00 am 02 10 22 city commission no action taken next: 03 10 22 result: no action taken next: 10 2022 9:00 am city commission meeting agenda march 10, 2022 city of miami page 63 printed on 2022 bc.21 11273 office of the city clerk resolution",
"resolution of the miami city commission appointing certain individuals as members of the urban deve lopment review board (udrb) for terms as designated herein. appointees: nominated by: commissioner alex diaz de la portilla commissioner alex diaz de la portilla commissioner ken russell commissio ner joe carollo commissioner joe carollo commissioner manolo reyes commissioner manolo reyes commissioner christine king commissioner christine king history: 01 13 22 city commission no action taken next: 02 10 22 result: no action taken next: 10 2022 9:00 02 10 22 city commission no action taken next: 03 10 22 result: no action taken next: 10 2022 9:00 am city commission meeting agenda march 10, 2022 city of miami page 64 printed on 2022 bc.22 9549 office of the city clerk resolution",Miami city commission appointed certain individuals as members of the urban deve lopment review board.
"resolution of the miami city commission appointing certain individual as member of the vi rgini key advisory board for term as designated herein. appointee: nominated by: commissioner ken russell history: 09 13 21 city commission no action taken next: 10 14 21 result: no action taken next: 10 14 2021 9:00 am 10 14 21 city commissi on no action taken next: 11 18 21 result: no action taken next: 11 18 2021 9:00 am 11 18 21 city commission no action taken next: 12 09 21 result: no action taken next: 12 2021 9:00 am 12 09 21 city commission no ction taken next: 01 13 22 result: no action taken next: 13 2022 9:00 am 01 13 22 city commission no action taken next: 02 10 22 result: no action taken next: 10 2022 9:00 am 02 10 22 city commission no action taken next: 03 10 22 result: no action taken next: 10 2022 9:00 am city commission meeting agenda march 10, 2022 city of miami page 65 printed on 2022 bc.23 8943 office of the city clerk resolution",Miami city commission appoints a member of the vi rgini key advisory board for term as designated by commissioner ken russell.
"resolution of the miami city commission appointing certain individuals as members of the virginia key beach park trust for terms as designated herein. appointees: nominated by: commissioner alex diaz de la portilla commissioner ken russell commissioner joe carollo commissioner manolo reyes commissioner christine king history: 05 13 21 city commission no action taken next: 06 10 21 result: no action taken next: 10 2021 9:00 am 06 10 21 city commission no action taken next: 07 08 21 result: no action taken next: 2021 9:00 am 07 08 21 city commission no action taken next: 09 13 21 result: no action taken next: 13 2021 9:00 am 09 13 21 city commission no action taken next: 10 14 21 result: no action taken next: 10 14 2021 9:00 am 10 14 21 city commission no action taken next: 11 18 21 result: no action taken next: 11 18 2021 9:00 am city commission meeting agenda march 10, 2022 city of miami page 66 printed on 2022 11 18 21 city commission no action taken next: 12 09 21 result: no action taken next: 12 2021 9:00 am 12 09 21 city commission no action taken next: 01 13 22 result: no action taken next: 13 2022 9:00 am 01 13 22 city commission no action taken next: 02 10 22 result: no action taken next: 10 022 9:00 am 02 10 22 city commission no actio taken next: 03 10 22 result: no action taken next: 10 2022 9:00 am end of boards and committees city commission meeting agenda march 10, 2022 city of miami page 67 printed on 2022 part b: pz planning and zoning item(s) pz.1 11082 department of planning ordinance first reading",Miami city commission appointed certain individuals as members of the virginia key beach park trust for terms as designated in the resolution of the Miami city commission.
"an ordinance of the miami city commission amending ordinance no. 10544, as amended, the future land use map of the miami comprehensive neighborhood plan, pursuant to small scale amendment procedures subject to sec tion 163.3187, florida statutes, by changing the future land use designation from duplex residential to low density restricted commercial of the real property at 19 northwest 41 street and 20 northwest 42 street, miami, florida, and denying change to the future land use designation from low density restricted commercial to general commercial of the real property at 4136 north miami avenue, miami, florida, all as more particularly described in exhibit a, attached and incorporated; making findings containing severability clause; and provi ding for an effective date. location approximately 19 northwest 41 street, 20 northwest 42 street, and 4136 north miami avenue [commissioner christine king district 5] applicant(s) william riley, esquire, behalf of perpetual love 4136, llc and cour tney properties, llc purpose this will amend the designation on the future land use map for 19 northwest 41 street and 20 northwest 42 street of the above property from duplex residential to low density rest ricted commercial and 4136 north miami avenu of the above property from low density restricted commercial to general commercial. finding(s) planning department: recommended partial approval and partial denial. planning, zoning and appeals board: on november 17, 2021, recommended denial by vote of 80. note for the record: companion file id 11083; pzab file id 8985 linked to this legislative file; eplan pz 208033 city commission meeting agenda march 10, 2022 city of miami page 68 printed on 2022 history: 01 27 22 city commission deferred next: 02 10 22 result: deferred [unani mous] next: 10 2022 9:00 am mover: joe caro llo, vice chair, district three seconder: ken russell, commissioner, district two ayes: christine king, joe carollo, ken russell absent: alex diaz de la portilla, manolo reyes 02 10 22 city commission continued next: 03 10 22 result: continued [unanimous] next: 10 2022 9:00 am mover: joe carollo, vice chair, district three seconder: alex diaz de la portilla, commissioner, district one ayes: christine king, joe carollo, alex diaz de la portilla, manolo reyes absent: ken russell city commission meeting agenda march 10, 2022 city of miami page 69 printed on 2022 pz.2 11083 department of planning ordinance first reading","An ordinance of the Miami city commission amending the future land use map of the miami comprehensive neighborhood plan, pursuant to small scale amendment procedures subject to sec tion 163.3187, is passed on March 10, 2022."
"an ordinance of the miami city commission amending the zoning atlas of ordinance no. 13114, the zoning ordinance of the city of miami, florida, as amended, by changing the oning classification from t3 l, sub urban transect zone limited, to t4 l, general urban transect zone limited, for the properties located at 19 northwest 41 street and denying the application for zoning change for the property located at approximat ely 20 northwest 42 street from t4 l, general urban transect zone limited, to t5 o, urban center transect zone open, for the property located at 4136 north miami avenu e, all as more particularly described in exhibit a; making findings; containing severability clause; and providing for an effective date. location approximately 19 northwest 41 street, 20 northwest 42 street, and 4136 north miami avenue [commissioner christine king district ]. applicant(s) william riley, esquire, on behalf perpetual love 4136 llc and courtney properties, llc purpose to rezone the properties located at 19 northwest 41 street and 20 northwest 42 street from t3 sub urban tr ansect zone limited to t4 general urban transect zone limited, and the property located at 4136 north miami avenue from t4 general urban transect zone limited to t5 urban center transect zone open for the property located at 4136 north miami avenue. finding(s) planning department: recommended approval and denial. planning, zoning and appeals board: on november 17, 2021, recommended denial, by vote of 0. note for the record: companion file id 11082; pzab file id 8984 linked to this legislative file; eplan pz 207917 city commission meeting agenda march 10, 2022 city of miami page 70 printed on 2022 history: 01 27 22 city commission deferred next: 02 10 22 result: deferred [unanimous] next: 10 2022 9:00 am mover: joe carollo, vice chair, district three seconder: ken russell, commissioner, district two ayes: chris tine king, joe carollo, ken russell absent: alex diaz de la portilla, manolo reye 02 10 22 city commission continued next: 03 10 22 result: continued [unanimous] next: 10 2022 9:00 am mover: joe carollo, vice chair, district three seconder: alex diaz la portilla, commissioner, district one ayes: christine king, joe carollo, alex diaz de la portilla, manolo reyes absent: ken russell city commission meeting agenda march 10, 2022 city of miami page 71 printed on 2022 pz.3 10811 ordinance second rea ding","An ordinance of the miami city commission amending the zoning atlas of ordinance no. 13114, the zoning ordinance of miami, florida, as amended, by changing the oning classification from t3 l, sub urban transect zone limited to t4 l"
"an ordinance of the miami city commission amending ordinance no. 13114, the zoning ordinance of the city of miam i, florida, as amended (miami 21 code); more specifically by amending article 1, titled definitions, and article 3, section 3.15, title affordable and attainable mixed income housing special benefit program supplemental regulations, to amend the definition of the term parking, tandem and to create regulations for city of miami owned lots located wholly within t5, urban center tran sect zone, and or t6, urban core transect zone, with qualified development; containing severability clause; and providing for an immediate effective date. sponsor (s): commissioner joe carollo applicant(s) arthur noriega v, city manager on beha lf of the city of miami purpose to amend the miami 21 zoning code to allow the city to apply for certain density, ntensity and height and other waivers on city owned properties (zoned t5 and t6) for affordable housing projects. finding(s) planning depa rtment: recommended denial planning, zoning and appeals board: the motion to recommend denial on october 20, 2021, passed, by vote of 0. note for the record: pzab file id 10766 linked to this legislative file city commission meeting agenda march 10, 2022 city of miami page 72 printed on 2022 history: 12 09 21 city commission defer red next: 01 27 22 result: deferred [unanimous] next: 27 2022 9:00 am mover: manolo reyes, commissioner, district four seconder: christine king, chair, district five ayes: christine king, joe carollo, ken russell, manolo reyes absent: alex diaz de la po rtilla 01 27 22 city commission deferred next: 02 10 22 result: deferred [unanimous] next: 10 2022 9:00 am mover: joe carollo, vice chair, district three seconder: ken russell, commissioner, district two ayes: christine king, joe carollo, ken russell absent: alex diaz de la portilla, manolo reyes 02 10 22 city commission passed on first reading next: 03 10 22 result: passed on first reading [unanimous] next: 10 2022 9:00 am mover: joe carollo, vice chair, district three seconder: alex diaz de la porti lla, commissioner, district one ayes: king, carollo, russell, diaz de la portilla, reyes city commission meeting agenda march 10, 2022 city of miami page 73 printed on 2022 pz.4 9385 ordinance second reading","An ordinance of the miami city commission amending the zoning code to allow the city to apply for certain density, ntensity and height and other waivers on city owned properties (zoned t5 and t6) for affordable housing projects."
"an ordinance of the miami city commission amending ordinance no. 13114, the zoning ordinance of the city of miami, florida, as amended (miami 21 code); more specifically by amending article 2, ection 2.2.1.3 and section 2.2.2 to clarify that the miami 21 code provides higher standard of zoning for tho se properties located in the miami dade county rapid transit system development zone and providing that all such properties shall remain subject to all of the provisions of the miami 21 code; containing severability clause; and providing for an immediate effective date. sponsor (s): commissioner joe carollo applicant(s): arthur noriega v, city manager, on behalf of city of miami purpose: this ordinance will amend article 2, section 2.2.1.3 and section 2.2.2, titled conflicts to clarify that the mia mi 21 code provides higher standard of zoning for those properties located in the miami dade county rapid transit system development zone and roviding that all such properties shall remain subject to all of the provisions of the miami 21 code. finding( s): planning department: recommended approval. planning, zoning and appeals board: recommended approval on november 17, 2021, by vote of 0. note for the record: pzab file id 9444 linked to this legislative file city commission meeting agenda march 10, 2022 city of miami page 74 printed on 2022 history: 07 22 21 city commission defe rred next: 09 13 21 result: deferred [unanimous] next: 13 2021 9:00 am mover: alex diaz de la portilla, commissioner, district one seconder: ken russell, commissioner, district two ayes: russell, diaz de la portilla, carollo, reyes, watson 09 13 21 city commission deferred next: 10 28 21 result: deferred [unanimous] next: 10 28 2021 9:00 am mover: alex diaz de la portilla, commissioner, distric one seconder: ken russell, commissioner, district two ayes: russell, diaz de la portilla, carollo, reyes, wat son 10 28 21 city commission deferred next: 11 18 21 result: deferred [unanimous] next: 11 18 2021 9:00 am mover: joe carollo, vice chair, distr ict three seconder: jeffrey watson, commissioner ayes: ken russell, joe carollo, manolo reyes, jeffrey watson absent: alex diaz de la portilla 11 18 21 city commission continued next: 12 09 21 result: continued [unanimous] next: 12 2021 9:00 am mover: joe carollo, vice chair, district three seconder: manolo reyes, commissioner, district four ayes: russell, diaz de la portilla, carollo, reyes, king 12 09 21 city commission continued next: 01 13 22 result: continued [unanimous] next: 13 2022 9:00 am mov er: manolo reyes, commissioner, district four seconder: christine king, chair, district five ayes: christine ki ng, joe carollo, ken russell, manolo reyes absent: alex diaz de la portilla 01 13 22 city commission deferred next: 01 27 22 result: deferred [u nanimous] next: 27 2022 9:00 am mover: alex diaz de la portilla, commissioner, district one seconder: manolo reyes, commissioner, district four ayes: christine king, ken russell, alex diaz de la portilla, manolo reyes absent: joe carollo 01 27 22 city co mmission deferred next: 02 10 22 result: deferred [unanimous] next: 10 2022 9:00 am mover: joe carollo, vice chair, district three seconder: ken russell, commissioner, district two ayes: christine king, joe carollo, ken russell absent: alex diaz de la ortilla, manolo reyes city commission meeting agenda march 10, 2022 city of miami page 75 printed on 2022 02 10 22 city commission deferred next: 02 24 22 result: deferred [unanimous] next: 24 2022 9:00 am mover: alex diaz de la portilla, commissioner, district one seconder: joe carollo, vice chair, district three ayes: king, carollo, russell, diaz de la portilla, reyes 02 24 22 city commission continued result: continued [unanimous] mover: manolo reyes, commissioner, district four seconder: christine king, chair, district five ayes: christine king, ken russell, manolo reyes absent: joe carollo, alex diaz de la portilla 02 24 22 city commission reconsidered result: reconsidered [unanimous] mover: alex diaz de la portilla, commissioner, district one seconder: joe carollo, vice chair, district three ayes: king, carollo, russell, diaz la portilla, reyes 02 24 22 city commission passed on first reading next: 03 10 22 result: passed on first eading [unanimous] next: 10 2022 9:00 am mover: ken russell, commissioner, district two seconder: alex diaz de la portilla, commissioner, distr ict one ayes: king, carollo, russell, diaz de la portilla, reyes end of planning and zoning item(s) city commission meeting agenda march 10, 2022 city of miami page 76 printed on 2022 fl future legislation pursuant to resolution 160303, any amendment to the city of miami code, or text amendment to the miami 21 code, sponsored cosponsored by the city administration shall be published at least sixty (60) days prior to first reading fo public comment in the future legislation section of the city commission agenda. items placed in the future legislation section shall require no action from the city commission the public may submit their comments to futurelegislation@miamigov.com comments shall be accepted through the period indicated under each ordinance. once the publ ic comment period has closed, said public comments shall be included as supporting documentation to the legisla tion. the public comment period shall re open for fifteen (15) days for additional public comment after the proposed amendment is published afte first reading. (under florida law, mail addresses are public records. if you do not want your mail addr ess released in response to public records request or published pursuant to resolution 160303, do not send electronic mail to this entity. nstead, contact the city commission or city administration by phone or in writing.) fl.1 11439 department of bu ilding ordinance",
